configuration,auroc,auroc_low,auroc_high,fpr95,fpr95_low,fpr95_high
CORES middle magnitude,0.9999434250764526,0.9998684250764527,0.9999969418960245,0.0,0.0,0.0
CORES middle full,0.9999006116207951,0.9997606651376146,0.9999908256880734,0.001,0.0,0.003
CORES multi-layer,0.999737003058104,0.9994801223241591,0.9999189602446483,0.001,0.0,0.004
RGB Mahalanobis,0.8228272171253822,0.8035230504587155,0.8426899082568806,0.759,0.625475,0.850525
