corruption,auroc,auroc_low,auroc_high,fpr95,fpr95_low,fpr95_high
gaussian_noise_sigma_0.10,0.9427260144581919,0.9283432815232538,0.9536917604204659,0.38837920489296635,0.3180428134556575,0.47327981651376144
brightness_x0.50,1.0,0.9999999999999999,1.0,0.0,0.0,0.0
average_blur_7x7,0.9999976620000187,0.9999859720001122,1.0,0.0,0.0,0.0
