,l1,rmse,abs_rel,delta1,delta2,delta3
NYU validation,0.1676128613016795,0.27781602420842966,0.07008774235637913,0.9529557979723243,0.9897348361638676,0.9971359059208328
NYU official test,0.5071247508037345,0.7901139239287887,0.20158481051068788,0.7181291328657657,0.9170721969837807,0.9697952252280092
