model,auroc,auroc_low,auroc_high,fpr95,fpr95_low,fpr95_high
FastDepth trained on NYU,0.9999434250764526,0.999874617737003,0.9999946865443425,0.0,0.0,0.0
"ImageNet encoder, no depth training",0.9188577981651376,0.907148241590214,0.931820259938838,0.324,0.282475,0.411525
Fully random encoder,0.12007033639143731,0.10480691896024465,0.13882136850152904,1.0,1.0,1.0
