method,tau_positive,tau_negative,auroc,fpr95
NYU validation median,6.734097480773926,-5.285741806030273,0.9999434250764526,0.0
Gaussian/uniform tuned,4.190608024597168,-6.686431884765625,0.9986819571865444,0.007
