configuration,weight_encoder_early,weight_encoder_middle,weight_encoder_late,weight_decoder_late,auroc,fpr95
uniform_all,0.25,0.25,0.25,0.25,0.999737003058104,0.001
synthetic_weighted,0.24999999999974998,0.24999999999974998,0.24999999999974998,0.24999999999974998,0.999737003058104,0.001
encoder_only_uniform,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.9998837920489296,0.0
early_middle_uniform,0.5,0.5,0.0,0.0,0.9998807339449541,0.0
leave_out_encoder_early,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9984694189602445,0.005
leave_out_encoder_middle,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.987776758409786,0.052
leave_out_encoder_late,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.9995688073394495,0.002
leave_out_decoder_late,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.9998837920489296,0.0
