configuration,auroc,auroc_low,auroc_high,fpr95,fpr95_low,fpr95_high
CORES middle magnitude,0.8345229357798164,0.8164761850152906,0.8511030198776759,0.499,0.439,0.5625249999999999
CORES middle full,0.8358761467889908,0.8179134938837921,0.8522785932721713,0.498,0.44,0.566
CORES multi-layer,0.8261559633027522,0.807920756880734,0.8439075305810398,0.528,0.469,0.624
RGB Mahalanobis,0.8228272171253822,0.8035230504587155,0.8426899082568806,0.759,0.625475,0.850525
