method,tau_positive,tau_negative,auroc,fpr95
NYU validation median,0.8327638506889343,-1.070592999458313,0.8345229357798164,0.499
Gaussian/uniform tuned,0.7050841450691223,-1.2586795091629028,0.8198042813455657,0.504
