model,auroc,auroc_low,auroc_high,fpr95,fpr95_low,fpr95_high
ResNet18Depth trained on NYU,0.8345229357798164,0.8167405581039756,0.8509892201834862,0.499,0.439475,0.553525
"ImageNet encoder, no depth training",0.9161498470948013,0.902154740061162,0.928665137614679,0.251,0.22,0.313
Fully random encoder,0.08012691131498473,0.06771085626911316,0.09513608562691132,1.0,1.0,1.0
