,l1,rmse,abs_rel,delta1,delta2,delta3
NYU validation,0.09440723365973705,0.3385609819288763,0.04440597993309581,0.9786591108429578,0.9921881870443754,0.9961175980964795
NYU official test,0.5246885880053226,1.0801230213328603,0.2093299953580267,0.7651875210464547,0.9208902397651556,0.9629630796406248
KITTI OOD (0-80 m),6.164137590408325,9.571318286895751,0.6812180562019348,0.08979505234956742,0.19209918063879014,0.3231408143043518
